ticket_id,date_processed
362687,2025-01-08
366301,2025-01-08
366304,2025-01-08
368505,2025-01-08
368556,2025-01-08
368751,2025-01-08
368785,2025-01-08
368790,2025-01-08
368795,2025-01-08
369021,2025-01-08
369601,2025-01-08
369605,2025-01-08
369843,2025-01-08
370216,2025-01-08
370267,2025-01-08
370685,2025-01-08
371256,2025-01-08
371273,2025-01-08
371763,2025-01-08
